USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,TotÂ Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
USA Total,13926318,"+166,873",274365.0,"+1,271",8224314.0,5427639.0,42073.0,829.0,194913696.0,588858.0,
Texas,1267486,"+13,479",22057.0,+85,1001641.0,243788.0,43713.0,761.0,11957918.0,412401.0,28995881.0
California,1234232,"+16,491",19210.0,+58,578522.0,636500.0,31237.0,486.0,24025171.0,608044.0,39512223.0
Florida,999319,"+6,659",18599.0,+99,656287.0,324433.0,46528.0,866.0,12427765.0,578635.0,21477737.0
Illinois,726304,"+6,190",12985.0,+103,377936.0,335383.0,57316.0,1025.0,10497998.0,828452.0,12671821.0
New York,686446,"+7,335",34581.0,+69,442991.0,208874.0,35286.0,1778.0,19421498.0,998352.0,19453561.0
Georgia,471563,"+2,047",9452.0,+10,298940.0,163171.0,44414.0,890.0,4677555.0,440555.0,10617423.0
Ohio,421063,"+6,631",6429.0,+30,271326.0,143308.0,36022.0,550.0,6105905.0,522359.0,11689100.0
Michigan,388942,"+5,214",9564.0,+97,165269.0,214109.0,38945.0,958.0,7115960.0,712532.0,9986857.0
Wisconsin,387235,"+2,534",3313.0,+6,315086.0,68836.0,66507.0,569.0,2537231.0,435768.0,5822434.0
Tennessee,374493,"+7,975",4602.0,+48,328710.0,41181.0,54837.0,674.0,4515655.0,661230.0,6829174.0
Pennsylvania,366971,"+5,584",10468.0,+45,216878.0,139625.0,28665.0,818.0,3579486.0,279604.0,12801989.0
North Carolina,364512,"+2,734",5261.0,+21,315979.0,43272.0,34755.0,502.0,5295290.0,504886.0,10488084.0
New Jersey,344977,"+4,148",17144.0,+20,196791.0,131042.0,38839.0,1930.0,6086496.0,685247.0,8882190.0
Indiana,338977,"+5,665",5723.0,+38,197078.0,136176.0,50351.0,850.0,4259964.0,632773.0,6732219.0
Arizona,331156,"+5,161",6639.0,+5,52438.0,272079.0,45496.0,912.0,2618314.0,359722.0,7278717.0
Minnesota,318763,"+5,794",3652.0,+15,272608.0,42503.0,56522.0,648.0,4262806.0,755866.0,5639632.0
Missouri,314990,"+3,299",4072.0,+7,85274.0,225644.0,51323.0,663.0,3292543.0,536470.0,6137428.0
Alabama,249524,"+2,295",3578.0,+1,161946.0,84000.0,50890.0,730.0,1651411.0,336804.0,4903185.0
Virginia,237835,"+1,893",4062.0,+4,24199.0,209574.0,27864.0,476.0,3808471.0,446191.0,8535519.0
Colorado,232905,"+4,133",3037.0,+34,55773.0,174095.0,40444.0,527.0,1754047.0,304589.0,5758736.0
Louisiana,232414,+169,6420.0,+13,192488.0,33506.0,49994.0,1381.0,3495253.0,751862.0,4648794.0
Iowa,229406,"+1,444",2404.0,+28,132272.0,94730.0,72710.0,762.0,1212184.0,384202.0,3155070.0
Massachusetts,226132,"+1,168",10748.0,+26,171528.0,43856.0,32808.0,1559.0,8400584.0,1218800.0,6892503.0
South Carolina,217487,"+1,358",4381.0,+28,114457.0,98649.0,42241.0,851.0,2707337.0,525828.0,5148714.0
Maryland,198370,"+1,923",4641.0,+16,8608.0,185121.0,32812.0,768.0,4429749.0,732713.0,6045680.0
Oklahoma,197745,"+2,200",1743.0,+7,163727.0,32275.0,49974.0,440.0,2130748.0,538480.0,3956971.0
Utah,195706,"+1,897",871.0,+3,134296.0,60539.0,61044.0,272.0,2048358.0,638922.0,3205958.0
Kentucky,179041,"+2,116",1908.0,+12,28281.0,148852.0,40075.0,427.0,2790462.0,624590.0,4467673.0
Washington,171793,"+4,445",2792.0,+69,67070.0,101931.0,22560.0,367.0,2894367.0,380093.0,7614893.0
Kansas,159189,"+4,053",1560.0,+31,91393.0,66236.0,54642.0,535.0,822884.0,282456.0,2913314.0
Arkansas,157359,"+1,112",2502.0,+32,138696.0,16161.0,52144.0,829.0,1820231.0,603164.0,3017804.0
Mississippi,153270,"+1,485",3807.0,+1,128746.0,20717.0,51499.0,1279.0,1366833.0,459262.0,2976149.0
Nevada,152169,"+1,642",2144.0,+8,84030.0,65995.0,49403.0,696.0,1638099.0,531823.0,3080156.0
Nebraska,128407,"+1,941",1018.0,+29,64485.0,62904.0,66381.0,526.0,745080.0,385172.0,1934408.0
Connecticut,117295,"+4,714",5020.0,+59,47870.0,64405.0,32899.0,1408.0,3253650.0,912591.0,3565287.0
Idaho,101698,"+1,214",929.0,+9,40929.0,59840.0,56908.0,520.0,716978.0,401204.0,1787065.0
New Mexico,97095,"+1,678",1568.0,+28,32569.0,62958.0,46306.0,748.0,1558291.0,743166.0,2096829.0
South Dakota,80464,+564,946.0,+3,62334.0,17184.0,90955.0,1069.0,328852.0,371727.0,884659.0
North Dakota,79252,+594,927.0,+7,71848.0,6477.0,103997.0,1216.0,350217.0,459565.0,762062.0
Oregon,75431,"+1,311",912.0,+7,,,17884.0,216.0,1979794.0,469397.0,4217737.0
Montana,62198,+397,681.0,+10,45486.0,16031.0,58195.0,637.0,656021.0,613805.0,1068778.0
Rhode Island,56723,+651,1373.0,+8,3737.0,51613.0,53545.0,1296.0,1550160.0,1463297.0,1059361.0
West Virginia,47842,+845,735.0,+6,30320.0,16787.0,26695.0,410.0,1130956.0,631062.0,1792147.0
Delaware,35654,+403,772.0,+2,17463.0,17419.0,36615.0,793.0,424342.0,435775.0,973764.0
Wyoming,33305,+816,215.0,,24478.0,8612.0,57546.0,371.0,419587.0,724977.0,578759.0
Alaska,31323,+507,120.0,,,,42818.0,164.0,1011396.0,1382548.0,731545.0
District Of Columbia,21552,+104,680.0,,15746.0,5126.0,30538.0,964.0,695256.0,985132.0,705749.0
New Hampshire,20994,+514,526.0,,15323.0,5145.0,15440.0,387.0,810663.0,596202.0,1359711.0
Hawaii,17925,+85,244.0,,13182.0,4499.0,12660.0,172.0,669762.0,473039.0,1415872.0
Maine,11757,+249,194.0,+3,9098.0,2465.0,8746.0,144.0,908538.0,675889.0,1344212.0
Vermont,4172,+72,69.0,+2,2523.0,1580.0,6686.0,111.0,224284.0,359436.0,623989.0
Puerto Rico,93442,"+1,342",1106.0,+12,43123.0,49213.0,27589.0,327.0,464073.0,137018.0,3386941.0
Guam,6852,+34,112.0,,5817.0,923.0,,,85638.0,,
United States Virgin Islands,1550,+6,23.0,,1493.0,34.0,,,28658.0,,
Northern Mariana Islands,106,+1,2.0,,,,,,23944.0,,
American Samoa,3,,,,,3.0,,,,,
US Military,117736,"+6,754",129.0,+5,70890.0,46717.0,,,,,
Veteran Affairs,110731,"+1,015",4912.0,+12,90045.0,15774.0,,,989636.0,,
Federal Prisons,28290,+621,147.0,,22008.0,6135.0,,,80847.0,,
Navajo Nation,16595,+168,653.0,,9188.0,6754.0,,,158451.0,,
Grand Princess Ship,103,,3.0,,,100.0,,,,,
Wuhan Repatriated,3,,,,,3.0,,,3.0,,
Diamond Princess Ship,46,,,,,46.0,,,46.0,,
Total:,13926318,"+166,873",274365.0,"+1,271",8224314.0,5427639.0,42073.0,829.0,194913696.0,588858.0,
